"export-plot data (NetLogo 6.0-PREVIEW-12-15)"
"Common Pool Resource ManagementGraphTestingCB.nlogo"
"01/21/2016 08:24:49:673 -0600"

"MODEL SETTINGS"
"plot-value","$-amount","farmer-name"
"""Gini Coefficient""","500","""Wyatt"""

"""Plot 2"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","15","0","70","true","""Gini Coefficient""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""Gini Coefficient""","true","0","1","0","15"

"""Gini Coefficient"""
"x","y","color","pen down?"
"0","17","0","true"
"1","17","0","true"
"2","21","0","true"
"3","24","0","true"
"4","41","0","true"
"5","47","0","true"
"6","49","0","true"
"7","28","0","true"
"8","22","0","true"
"9","24","0","true"
"10","64","0","true"
"11","47","0","true"
"12","37","0","true"
"13","32","0","true"
"14","28","0","true"
"15","21","0","true"
